Artists,Recognized by SD?,Tags
Carne Griffiths,Yes,"realism, scene, portrait"
Caspar David Friedrich,Yes,"landscape, dark, romanticism"
Catrin Welz-Stein,Yes,"fantasy, portrait, surrealism, whimsical"
Charles Addams,Yes,"monochromatic, scene, cartoon"
Charles Angrand,Yes,"impressionism, coloful"
Charles Spencelayh,Yes,"scene, romanticism"
Charles-Francois Daubigny,Yes,"landscape, realism, impressionism"
Charlie Bowater,Yes,"fantasy, digital, portrait, character"
Chiho Aoshima,Yes,"pop art, colorful, whimsical, anime, fantasy, vibrant"
Chris Foss,Yes,"vibrant, sci-fi, space"
Chuck Close,Yes,"angular, portrait, abstract"
Cicely Mary Barker,Yes,"fantasy, whimsical, character"
Cindy Sherman,Yes,"photography, portrait"
Clemens Ascher,Yes,"high contrast, photography, vibrant"
Cory Arcangel,Yes,"high contrast, colorful, installation"
Craigie Aitchison,Yes,"vibrant, primitivism, figurativism"
Cuno Amiet,Yes,"impressionism, portrait, landscape"
Daido Moriyama,Yes,"monochromatic, photography, dark"
Daniel Arsham,Yes,sculpture
Daniel Garber,Yes,"impressionism, landscape, realism"
Daniel Ridgway Knight,Yes,"realism, nature, scene"
Dante Gabriel Rossetti,Yes,"figurativism, portrait, romanticism, symbolism"
Darek Zabrocki,Yes,"digital, scale, scene"
Dariusz Zawadzki,No,"dark, horror, surrealism"
Darrell K. Sweet,Yes,"fantasy, painting, scene, sci-fi"
David Aja,Yes,"high contrast, comics"
David Bowie,Yes,"colorful, pop art, portrait"
David Hockney,Yes,"colorful, cubism, vibrant"
David Teniers the Younger,Yes,"baroque, scene"
Dean Ellis,Yes,"sci-fi, vibrant"
Denis Sarazhin,Yes,"realism, impressionism, detailed, character"
Diane Arbus,Yes,"photography, monochromatic, scene"
Diego Velázquez,Yes,"baroque, scene"
Dorina Costras,Yes,"surrealism, figurativism, character"
Doug Aitken,Yes,"installation, photography, sculpture"
Duy Huynh,Yes,"surrealism, magic realism"
Ed Freeman,Yes,"photography, nudity, figurativism, architecture"
Ed Mell,Yes,"landscape, high contrast"
Edgar Degas,Yes,"impressionism, portrait, realism"
Edmund Dulac,Yes,"whimsical, art nouveau"
Edmund Leighton,Yes,"romanticism, scene, character"
Edvard Munch,Yes,"expressionism, impressionism, symbolism"
Edward Burne-Jones,Yes,"painting, portrait, symbolism"
Edward Hopper,Yes,"realism, impressionism, scene"
Edward John Poynter,Yes,"art nouveau, realism, renaissance, scene"
Edward Lear,Yes,"landscape, birds, romanticism"
Edward Robert Hughes,Yes,"romanticism, scene, character, fantasy"
Edward Steichen,Yes,"monochromatic, photography, realism"
Edward Weston,Yes,"abstract, monochromatic, photography"
Edwin Austin Abbey,Yes,"scene, realism"
Egon Schiele,Yes,"expressionism, art nouveau, impressionism, symbolism, character"
Eileen Agar,Yes,"vibrant, abstract, collage"
El Anatsui,Yes,"abstract, sculpture, texture, melanin"
El Greco,Yes,renaissance
El Huervo,Yes,"high contrast, vibrant, expressionism"
Élisabeth Vigée Le Brun,Yes,"landscape, painting, portrait, scene"
Emil Alzamora,No,
Emil Melmoth,Yes,"dark, surrealism, figurativism, sculpture"
Eric Zener,Yes,"painting, photorealism, swimming pool, water"
Ernst Fuchs,Yes,"textured, detailed, surrealism"
Ernst Ludwig Kirchner,Yes,"expressionism, portrait, scene"
Esao Andrews,Yes,"surrealism, dark"
Etel Adnan,Yes,"abstract, vibrant, landscape"
Eugène Atget,Yes,"architecture, dark, monochromatic, photography, surrealism"
Eugene Delacroix,Yes,"romanticism, scene"
Eve Arnold,Yes,"photography, monochromatic"
Evelyn De Morgan,Yes,"detailed, romanticism, symbolism"
Eyvind Earle,Yes,"magical realism, storybook realism, fantasy, high contrast"
Federico Pelat,No,
Ferdinand Hodler,Yes,"symbolism, character, portrait"
Fernando Amorsolo,Yes,"realism, scene"
Floris Arntzenius,Yes,"realism, streetscape, scene"
Ford Madox Brown,Yes,"realism, romanticism, scene, portrait"
Fra Angelico,Yes,"renaissance, scene"
Francisco De Goya,Yes,"romanticism, portrait, scene"
Frank Auerbach,Yes,"dark, expressionism, messy"
Frank Frazetta,Yes,"dark, fantasy, scene"
Frank Lloyd Wright,Yes,"architecture, arc deco, angular"
Franz Xaver Winterhalter,Yes,"painting, portrait, romanticism"
Frederic Edwin Church,Yes,"landscape, luminism, impressionism"
Frederic Remington,Yes,"impressionism, realism, scene, horses"
Genndy Tartakovsky,Yes,"cartoon, colorful, comic, high contrast"
George Ault,Yes,"angular, dark, high contrast, surrealism"
George Frederic Watts,Yes,"dark, portrait"
George Inness,Yes,"landscape, dark, impressionism, realism"
George Lucas,Yes,"sci-fi, fantasy, scene"
Georges Seurat,Yes,"impressionism, low-contrast, landscape, scene"
Georgia O'Keeffe,Yes,"figurativism, abstract, watercolor"
Gerald Brom,Yes,"dark, fantasy"
Gerd Arntz,Yes,"graphic design, high contrast, flat colors, monochromatic"
Gertrude Abercrombie,Yes,"surrealism, dark"
Ghada Amer,Yes,"abstract, portrait"
Gil Elvgren,Yes,"art nouveau, character, portrait, scene"
Gilbert Stuart,Yes,"painting, portrait"
Giorgio de Chirico,Yes,"surrealism, colorful"
Giovani Magana,No,
Giuseppe Arcimboldo,Yes,"dark, fruit"
Gjon Mili,Yes,"photography, high contrast"
Gordon Parks,Yes,"melanin, monochromatic, photography"
Grant Wood,Yes,"figurativism, landscape, painting, portrait"
Greg Rutkowski,Yes,"digital, landscape, fantasy, dark"
Gregory Crewdson,Yes,"photography, surrealism, dark"
Grzegorz Rosiński,No,"character, dark, fantasy"
Gustav Klimt,Yes,"art nouveau, symbolism"
Gustave Doré,Yes,"dark, detailed, romanticism"
Gustave Moreau,Yes,"detailed, dark, symbolism"
Guy Aroch,Yes,"photography, fashion, portrait"
H.P. Lovecraft,Yes,"horror, dark, monochromatic"
H.R. Giger,Yes,"sci-fi, dark, monochromatic"
Hans Christian Andersen,Yes,"romanticism, art nouveau"
Hasui Kawase,Yes,ukiyo-e
Hayao Miyazaki,Yes,"whimsical, anime, children's illustration"
Hayashida Q,Yes,"character, dark, detailed, manga"
Helen Allingham,Yes,"watercolor, landscape, scene"
Helmut Newton,Yes,"photography, monochromatic, scene"
Hendrick Avercamp,Yes,"landscape, scene"
Henri De Toulouse Lautrec,Yes,"impressionism, art nouveau, realism"
Henri Fantin Latour,Yes,"flowers, realism, symbolism"
Henri Matisse,Yes,"fauvism, impressionism"
Henri Rousseau,Yes,"landscape, painting, primitivism"
Henri-Edmond Cross,Yes,"abstract, colorful, impressionism"
Henry Asencio,Yes,"abstract, dark, expressionism, figurativism, impressionism, messy, portrait"
Henry Ossawa Tanner,Yes,"realism, landscape, scene"
Hilma af Klint,Yes,"abstract, low contrast"
Hirohiko Araki,Yes,manga
Hiroshi Yoshida,Yes,"ukiyo-e, landscape, detailed"
Horace Vernet,Yes,"landscape, painting, realism"
Howard Arkley,Yes,"architecture, vibrant, colorful, detailed"
Hsiao-Ron Cheng,Yes,"portrait, digital, pop art"
Hubert Robert,Yes,"romanticism, landscape, architecture"
Igor Zenin,Yes,"digital, expressionism"
Ilya Kuvshinov,Yes,"vibrant, digital, fantasy, scene, manga"
Ilya Repin,Yes,"impressionism, portrait, realism, scene"
Inio Asano,Yes,"manga, scene"
Inoue Takehiko,Yes,"character, manga"
Isaac Levitan,Yes,"landscape, realism, impressionism"
Italo Calvino,Yes,symbolism
Ivan Aivazovsky,Yes,"dark, landscape, romanticism"
Ivan Albright,Yes,"dark, messy, impressionism"
Ivan Bilibin,Yes,art nouveau
Ivan Shishkin,Yes,"landscape, nature, realism"
J.C. Leyendecker,Yes,"art nouveau, portrait, scene"
Jacek Yerka,Yes,"detailed, surrealism"
Jacob Lawrence,Yes,"melanin, cubism, angular"
Jacques-Laurent Agasse,Yes,"landscape, animals"
Jakub Rozalski,Yes,"landscape, realism, fantasy, sci-fi"
James Gilleard,Yes,"digital, architecture, vibrant, landscape"
James Gurney,Yes,"fantasy, landscape, scene"
James Paick,Yes,"digital, landscape, fantasy, sci-fi"
James Turrell,Yes,"light, vibrant, installation"
Jan Matejko,Yes,"history, painting"
Jan Urschel,Yes,"dark, digital, landscape, sci-fi"
Jan Van Eyck,Yes,"portrait, renaissance"
Janek Sedlar,Yes,"photography, landscape, nature"
Jay Anacleto,Yes,"comics, detailed"
Jean Arp,Yes,"abstract, high contrast"
Jean Auguste Dominique Ingres,Yes,"painting, portrait, romanticism, scene"
Jean Giraud,Yes,"comic, fantasy, psychedelic, sci-fi, surrealism"
Jean Marc Nattier,Yes,"painting, portrait"
Jean-Baptiste Monge,Yes,"dark, fantasy, detailed"
Jean-François Millet,Yes,"realism, landscape, scene"
Jean-Honoré Fragonard,Yes,"baroque, impressionism, scene"
Jean-Léon Gérôme,Yes,"romanticism, scene"
Jeremy Geddes,Yes,"photography, surrealism, dark"
Jeremy Lipking,Yes,"realism, portrait, scene, landscape"
Jeremy Mann,Yes,"dark, messy, streetscape, portrait"
Jesper Ejsing,Yes,fantasy
Jessie Willcox Smith,Yes,"romanticism, impressionism, art nouveau, scene"
Jim Burns,Yes,"sci-fi, scene, character"
Jimmy Lawlor,Yes,"surrealism, magic realism"
Joaquín Sorolla,Yes,"impressionism, luminism, portrait, landscape"
Johannes Vermeer,Yes,"painting, portrait"
John Blanche,Yes,"character, detailed, fantasy, sci-fi"
John Constable,Yes,"landscape, painting, realism, romanticism, scene"
John Harris,Yes,"dark, sci-fi, space, messy"
John Howe,Yes,"fantasy, dark, detailed"
John James Audubon,Yes,"realism, watercolor, birds"
John Lavery,Yes,"impressionism, portrait, scene"
John Martin,Yes,"landscape, romanticism, dark"
John Singer Sargent,Yes,"realism, impressionism, portrait, scene"
John Singleton Copley,Yes,"painting, portrait, realism"
John White Alexander,Yes,"portrait, art nouveau, symbolism"
John Wilhelm,Yes,"digital, photography"
John William Waterhouse,Yes,"romanticism, portrait, scene"
Jordan Grimmer,Yes,"scene, landscape, digital"
Josan Gonzalez,Yes,"detailed, scene, sci-fi"
Josef Albers,Yes,"bauhaus, high contrast"
Joseph Mallord William Turner,Yes,"landscape, romanticism, seascape"
Josephine Wall,Yes,"colorful, fantasy, painting, vibrant"
Josh Adamski,Yes,"landscape, vibrant"
Josh Kirby,Yes,"colorful, fantasy, painting"
Jovana Rikalo,Yes,"photography, portrait"
Jules Bastien-Lepage,Yes,"realism, impressionism"
Julian Falat,No,
Junji Ito,Yes,"horror, manga, portrait, monochromatic, detailed"
Justin Gerard,Yes,"fantasy, whimsical, detailed"
Kadir Nelson,Yes,"melanin, portrait, scene"
